h3_index,classification
82eaa7fffffffff,ocean
82ba77fffffffff,ocean
82b96ffffffffff,ocean
8282c7fffffffff,ocean
824aa7fffffffff,ocean
82ef1ffffffffff,coast
82c477fffffffff,ocean
82e56ffffffffff,land
826f1ffffffffff,ocean
82f36ffffffffff,ocean
8294b7fffffffff,ocean
82012ffffffffff,ocean
827317fffffffff,ocean
8282affffffffff,land
82c6f7fffffffff,ocean
828d37fffffffff,ocean
829adffffffffff,ocean
823baffffffffff,ocean
8218cffffffffff,ocean
82241ffffffffff,land
82c967fffffffff,ocean
82cd47fffffffff,ocean
82729ffffffffff,coast
82206ffffffffff,land
82bf4ffffffffff,coast
82cc07fffffffff,ocean
82f047fffffffff,land
821ef7fffffffff,coast
8222b7fffffffff,ocean
82720ffffffffff,ocean
82bee7fffffffff,land
829f27fffffffff,ocean
82ab8ffffffffff,ocean
823c27fffffffff,land
821e67fffffffff,land
8264f7fffffffff,coast
822547fffffffff,land
824347fffffffff,land
827e27fffffffff,ocean
826a1ffffffffff,land
82051ffffffffff,ocean
8247a7fffffffff,ocean
824d37fffffffff,ocean
822217fffffffff,ocean
82a28ffffffffff,ocean
8222e7fffffffff,ocean
82bedffffffffff,land
82d197fffffffff,ocean
820ea7fffffffff,coast
822a0ffffffffff,ocean
820a5ffffffffff,land
827c8ffffffffff,ocean
821b57fffffffff,ocean
82c6effffffffff,ocean
824747fffffffff,ocean
82840ffffffffff,ocean
82a20ffffffffff,ocean
82294ffffffffff,ocean
82f0b7fffffffff,land
82424ffffffffff,land
820927fffffffff,ocean
82225ffffffffff,coast
82d05ffffffffff,ocean
82339ffffffffff,coast
826c2ffffffffff,ocean
82ba27fffffffff,coast
82146ffffffffff,land
82ac8ffffffffff,coast
82292ffffffffff,ocean
82da5ffffffffff,ocean
820f47fffffffff,coast
82d16ffffffffff,ocean
82b757fffffffff,ocean
82e52ffffffffff,coast
829487fffffffff,coast
8270cffffffffff,ocean
827ce7fffffffff,ocean
82d20ffffffffff,ocean
8268b7fffffffff,coast
82ab6ffffffffff,ocean
821247fffffffff,land
825227fffffffff,land
82238ffffffffff,ocean
8288dffffffffff,ocean
826d9ffffffffff,ocean
8272e7fffffffff,ocean
82299ffffffffff,land
823737fffffffff,ocean
82578ffffffffff,ocean
82a737fffffffff,land
8257b7fffffffff,ocean
82b3affffffffff,ocean
82e04ffffffffff,ocean
828297fffffffff,land
82e777fffffffff,coast
